,Customer ID,Purchase Date,Drone Model,Price,Payment Method,Warranty,Usage Frequency,Purpose of Use,Customer Satisfaction,Customer Feedback,Age,Obstacle Avoidance,cluster_no
47,CUST048,2023-01-13,Parrot Anafi USA,1029.83,Cash,1,2,Aerial Photography,4,I purchased the Parrot Anafi USA and it has been an impressive experience. It's perfect for Aerial Photography.,393,1,2
48,CUST049,2023-08-14,DJI Air 2S,421.99,Cash,0,0,Aerial Photography,4,The DJI Air 2S is outstanding and exceeded my expectations. It's fantastic for Aerial Photography.,180,0,1
49,CUST050,2023-03-05,DJI Air 2S,368.73,Credit Card,2,0,Recreation,5,I purchased the DJI Air 2S and it has been an reliable experience. It's perfect for Recreation.,342,0,3
50,CUST051,2023-04-21,Yuneec Typhoon H,1667.55,Credit Card,1,2,Aerial Photography,3,The Yuneec Typhoon H is reliable and exceeded my expectations. It's terrific for Aerial Photography.,295,0,2
51,CUST052,2023-07-16,Skydio X2,614.2,Debit Card,1,2,Professional Use,5,I couldn't be happier with the Skydio X2. It's outstanding and perfect for Professional Use.,209,0,2
52,CUST053,2023-04-28,Yuneec Typhoon H,1529.27,Credit Card,0,0,Professional Use,5,The Yuneec Typhoon H is excellent and exceeded my expectations. It's fantastic for Professional Use.,288,0,1
53,CUST054,2023-06-21,DJI Air 2S,1694.93,Cash,0,1,Aerial Photography,4,The DJI Air 2S is satisfying and exceeded my expectations. It's exceptional for Aerial Photography.,234,0,1
54,CUST055,2022-12-28,Autel EVO Nano+,1326.69,Credit Card,2,1,Aerial Photography,4,The Autel EVO Nano+ is outstanding and exceeded my expectations. It's fantastic for Aerial Photography.,409,0,5
55,CUST056,2023-05-12,Parrot Anafi USA,2016.35,Debit Card,0,1,Professional Use,4,I couldn't be happier with the Parrot Anafi USA. It's reliable and exceptional for Professional Use.,274,1,1
56,CUST057,2023-05-13,Skydio 2,927.91,Debit Card,2,2,Recreation,5,I'm truly impressed with the Skydio 2. It's outstanding and fantastic for Recreation.,273,1,5
57,CUST058,2023-03-25,DJI Mini 2,788.1,PayPal,1,2,Aerial Photography,4,The DJI Mini 2 is excellent and exceeded my expectations. It's exceptional for Aerial Photography.,322,1,2
58,CUST059,2022-12-08,DJI Mavic Air 2,852.83,PayPal,1,2,Aerial Photography,4,The DJI Mavic Air 2 is excellent and exceeded my expectations. It's fantastic for Aerial Photography.,429,0,2
59,CUST060,2022-11-02,Parrot Anafi USA,942.01,Cash,1,2,Professional Use,4,"For the price of 942.01, the Parrot Anafi USA offers impressive performance. It's terrific for Professional Use.",465,1,2
60,CUST061,2023-06-09,Autel EVO Nano+,1052.0,Credit Card,0,1,Professional Use,4,I purchased the Autel EVO Nano+ and it has been an excellent experience. It's perfect for Professional Use.,246,0,1
61,CUST062,2023-07-26,Skydio 2,997.39,PayPal,0,2,Recreation,4,I purchased the Skydio 2 and it has been an outstanding experience. It's perfect for Recreation.,199,1,2
62,CUST063,2023-05-10,Autel EVO Lite+,1234.3,PayPal,0,2,Professional Use,4,I'm truly impressed with the Autel EVO Lite+. It's reliable and fantastic for Professional Use.,276,0,2
63,CUST064,2023-03-08,Autel EVO 2 Pro,1381.44,PayPal,1,2,Professional Use,5,I'm truly impressed with the Autel EVO 2 Pro. It's impressive and fantastic for Professional Use.,339,0,2
64,CUST065,2023-05-09,Skydio 2,1672.83,Cash,2,2,Professional Use,3,I couldn't be happier with the Skydio 2. It's excellent and terrific for Professional Use.,277,1,5
65,CUST066,2022-12-26,DJI Mavic Air 2,2265.62,Cash,2,2,Professional Use,4,The DJI Mavic Air 2 is excellent and exceeded my expectations. It's terrific for Professional Use.,411,0,5
66,CUST067,2022-10-31,Parrot Anafi USA,1583.55,PayPal,1,1,Recreation,5,"For the price of 1583.55, the Parrot Anafi USA offers satisfying performance. It's perfect for Recreation.",467,1,4
67,CUST068,2022-10-19,DJI Air 2S,1895.89,Cash,2,2,Recreation,5,I purchased the DJI Air 2S and it has been an impressive experience. It's perfect for Recreation.,479,0,5
68,CUST069,2023-01-21,DJI Mini 2,444.82,Cash,0,2,Professional Use,5,I purchased the DJI Mini 2 and it has been an impressive experience. It's perfect for Professional Use.,385,1,2
69,CUST070,2023-07-20,DJI Air 2S,1771.38,Credit Card,2,1,Aerial Photography,4,The DJI Air 2S is satisfying and exceeded my expectations. It's terrific for Aerial Photography.,205,0,5
70,CUST071,2023-05-29,Autel EVO Nano+,680.19,PayPal,2,1,Recreation,4,"For the price of 680.19, the Autel EVO Nano+ offers satisfying performance. It's fantastic for Recreation.",257,0,5
71,CUST072,2023-05-24,Skydio X2,1847.38,PayPal,0,0,Aerial Photography,5,I purchased the Skydio X2 and it has been an impressive experience. It's perfect for Aerial Photography.,262,0,1
72,CUST073,2022-11-19,Autel EVO Lite+,904.03,PayPal,2,0,Aerial Photography,3,I'm truly impressed with the Autel EVO Lite+. It's excellent and terrific for Aerial Photography.,448,0,3
73,CUST074,2023-06-06,Yuneec Typhoon H,814.22,Credit Card,1,0,Professional Use,4,I purchased the Yuneec Typhoon H and it has been an impressive experience. It's perfect for Professional Use.,249,0,3
74,CUST075,2023-02-16,Autel EVO Nano+,407.79,Cash,0,0,Recreation,4,I couldn't be happier with the Autel EVO Nano+. It's reliable and perfect for Recreation.,359,0,1
75,CUST076,2022-10-16,Yuneec Typhoon H,2235.69,PayPal,0,2,Aerial Photography,5,I purchased the Yuneec Typhoon H and it has been an impressive experience. It's perfect for Aerial Photography.,482,0,2
76,CUST077,2022-11-02,Autel EVO Nano+,1084.01,Credit Card,0,0,Aerial Photography,4,I couldn't be happier with the Autel EVO Nano+. It's impressive and amazing for Aerial Photography.,465,0,1
77,CUST078,2023-06-12,DJI Mavic Air 2,2394.31,Credit Card,1,1,Aerial Photography,4,I couldn't be happier with the DJI Mavic Air 2. It's satisfying and fantastic for Aerial Photography.,243,0,4
78,CUST079,2022-12-02,Parrot Anafi USA,2024.99,PayPal,0,2,Recreation,5,I couldn't be happier with the Parrot Anafi USA. It's impressive and perfect for Recreation.,435,1,2
79,CUST080,2023-04-14,Autel EVO Lite+,801.89,Cash,0,0,Professional Use,4,I'm truly impressed with the Autel EVO Lite+. It's excellent and terrific for Professional Use.,302,0,1
80,CUST081,2022-11-25,Parrot Anafi USA,1721.18,Cash,1,0,Aerial Photography,5,"For the price of 1721.18, the Parrot Anafi USA offers outstanding performance. It's amazing for Aerial Photography.",442,1,3
81,CUST082,2023-02-14,Yuneec Typhoon H,2330.99,Debit Card,2,0,Recreation,3,"For the price of 2330.99, the Yuneec Typhoon H offers reliable performance. It's terrific for Recreation.",361,0,3
82,CUST083,2023-07-25,Yuneec Typhoon H,1933.4,Debit Card,0,2,Aerial Photography,5,"For the price of 1933.4, the Yuneec Typhoon H offers excellent performance. It's fantastic for Aerial Photography.",200,0,2
83,CUST084,2023-01-12,Autel EVO Nano+,686.27,Credit Card,0,1,Aerial Photography,4,The Autel EVO Nano+ is excellent and exceeded my expectations. It's amazing for Aerial Photography.,394,0,1
84,CUST085,2023-02-06,DJI Mini 2,1944.45,Cash,1,0,Recreation,3,I'm truly impressed with the DJI Mini 2. It's reliable and terrific for Recreation.,369,1,3
85,CUST086,2023-09-03,Parrot Anafi USA,1947.21,Debit Card,0,1,Aerial Photography,4,The Parrot Anafi USA is satisfying and exceeded my expectations. It's perfect for Aerial Photography.,160,1,1
86,CUST087,2023-06-20,Autel EVO Nano+,746.67,Debit Card,1,2,Professional Use,4,I'm truly impressed with the Autel EVO Nano+. It's satisfying and exceptional for Professional Use.,235,0,2
87,CUST088,2023-08-08,Yuneec Typhoon H,2013.7,Credit Card,2,2,Aerial Photography,4,The Yuneec Typhoon H is outstanding and exceeded my expectations. It's fantastic for Aerial Photography.,186,0,5
88,CUST089,2023-07-20,DJI Air 2S,905.87,Credit Card,2,2,Recreation,4,The DJI Air 2S is impressive and exceeded my expectations. It's terrific for Recreation.,205,0,5
89,CUST090,2023-06-11,Autel EVO Lite+,696.03,Debit Card,0,0,Professional Use,4,I couldn't be happier with the Autel EVO Lite+. It's outstanding and perfect for Professional Use.,244,0,1
90,CUST091,2023-05-01,Autel EVO Lite+,1983.97,Debit Card,0,2,Recreation,4,"For the price of 1983.97, the Autel EVO Lite+ offers impressive performance. It's perfect for Recreation.",285,0,2
91,CUST092,2023-08-16,Autel EVO 2 Pro,2294.12,Debit Card,1,1,Recreation,5,The Autel EVO 2 Pro is outstanding and exceeded my expectations. It's fantastic for Recreation.,178,0,4
92,CUST093,2023-03-02,Autel EVO Lite+,1655.16,Credit Card,1,0,Recreation,4,I purchased the Autel EVO Lite+ and it has been an impressive experience. It's perfect for Recreation.,345,0,3
93,CUST094,2022-12-13,DJI Mavic Air 2,1756.62,PayPal,1,2,Professional Use,3,I'm truly impressed with the DJI Mavic Air 2. It's reliable and exceptional for Professional Use.,424,0,2
94,CUST095,2023-06-20,Yuneec Typhoon H,2314.67,PayPal,1,2,Aerial Photography,4,"For the price of 2314.67, the Yuneec Typhoon H offers excellent performance. It's terrific for Aerial Photography.",235,0,2
95,CUST096,2022-10-08,DJI Air 2S,963.29,Cash,2,2,Professional Use,1,I couldn't be happier with the DJI Air 2S. It's reliable and amazing for Professional Use.,490,0,5
96,CUST097,2022-12-14,DJI Mavic Air 2,546.35,Cash,0,1,Professional Use,4,I couldn't be happier with the DJI Mavic Air 2. It's satisfying and amazing for Professional Use.,423,0,1
97,CUST098,2023-01-10,Parrot Anafi USA,333.06,PayPal,1,0,Aerial Photography,4,I'm truly impressed with the Parrot Anafi USA. It's excellent and amazing for Aerial Photography.,396,1,3
98,CUST099,2023-06-26,Yuneec Typhoon H,710.37,Debit Card,0,2,Professional Use,2,I'm truly impressed with the Yuneec Typhoon H. It's reliable and amazing for Professional Use.,229,0,2
99,CUST100,2022-12-03,DJI Air 2S,2440.37,Credit Card,0,2,Professional Use,2,"For the price of 2440.37, the DJI Air 2S offers reliable performance. It's amazing for Professional Use.",434,0,2
100,CUST101,2023-08-15,Autel EVO Lite+,1132.34,Debit Card,0,0,Aerial Photography,4,I couldn't be happier with the Autel EVO Lite+. It's reliable and exceptional for Aerial Photography.,179,0,1
101,CUST102,2023-01-29,DJI Mini 2,1878.75,Cash,1,2,Aerial Photography,5,I purchased the DJI Mini 2 and it has been an outstanding experience. It's perfect for Aerial Photography.,377,1,2
102,CUST103,2023-08-03,Skydio X2,1869.68,PayPal,2,2,Aerial Photography,4,I couldn't be happier with the Skydio X2. It's excellent and terrific for Aerial Photography.,191,0,5
103,CUST104,2023-08-04,Autel EVO 2 Pro,1603.84,Debit Card,0,0,Professional Use,1,The Autel EVO 2 Pro is reliable and exceeded my expectations. It's amazing for Professional Use.,190,0,1
104,CUST105,2023-01-23,DJI Air 2S,339.36,Debit Card,0,1,Aerial Photography,5,I'm truly impressed with the DJI Air 2S. It's outstanding and terrific for Aerial Photography.,383,0,1
105,CUST106,2023-06-18,Parrot Anafi USA,1897.84,Debit Card,1,2,Professional Use,5,"For the price of 1897.84, the Parrot Anafi USA offers excellent performance. It's perfect for Professional Use.",237,1,2
106,CUST107,2023-04-09,DJI Mavic Air 2,762.25,Cash,1,1,Aerial Photography,2,"For the price of 762.25, the DJI Mavic Air 2 offers reliable performance. It's amazing for Aerial Photography.",307,0,4
107,CUST108,2023-06-10,Yuneec Typhoon H,2452.49,PayPal,1,2,Professional Use,5,I couldn't be happier with the Yuneec Typhoon H. It's impressive and amazing for Professional Use.,245,0,2
108,CUST109,2023-05-27,Autel EVO Nano+,1572.15,Credit Card,0,2,Recreation,4,I'm truly impressed with the Autel EVO Nano+. It's outstanding and fantastic for Recreation.,259,0,2
109,CUST110,2023-03-27,Skydio 2,1344.97,Credit Card,2,2,Recreation,3,"For the price of 1344.97, the Skydio 2 offers satisfying performance. It's amazing for Recreation.",320,1,5
110,CUST111,2023-01-31,DJI Mini 2,1873.77,Credit Card,2,2,Recreation,4,I'm truly impressed with the DJI Mini 2. It's impressive and terrific for Recreation.,375,1,5
111,CUST112,2022-11-18,Yuneec Typhoon H,379.64,Debit Card,1,2,Professional Use,5,I couldn't be happier with the Yuneec Typhoon H. It's impressive and fantastic for Professional Use.,449,0,2
112,CUST113,2023-02-21,Yuneec Typhoon H,1444.34,Cash,1,1,Professional Use,3,I couldn't be happier with the Yuneec Typhoon H. It's reliable and exceptional for Professional Use.,354,0,4
113,CUST114,2023-06-22,Autel EVO Nano+,2400.14,Debit Card,2,2,Recreation,4,I couldn't be happier with the Autel EVO Nano+. It's outstanding and amazing for Recreation.,233,0,5
114,CUST115,2023-07-29,DJI Mini 2,2088.96,Cash,2,2,Aerial Photography,5,"For the price of 2088.96, the DJI Mini 2 offers reliable performance. It's fantastic for Aerial Photography.",196,1,5
115,CUST116,2023-05-13,Skydio X2,655.62,Debit Card,2,0,Professional Use,4,I purchased the Skydio X2 and it has been an impressive experience. It's perfect for Professional Use.,273,0,3
116,CUST117,2023-01-11,Parrot Anafi USA,1210.27,PayPal,1,1,Recreation,3,"For the price of 1210.27, the Parrot Anafi USA offers excellent performance. It's amazing for Recreation.",395,1,4
117,CUST118,2023-01-13,Skydio 2,1158.78,Cash,1,0,Aerial Photography,4,I'm truly impressed with the Skydio 2. It's impressive and fantastic for Aerial Photography.,393,1,3
118,CUST119,2023-04-28,Skydio 2,2337.94,PayPal,0,1,Professional Use,4,I'm truly impressed with the Skydio 2. It's outstanding and amazing for Professional Use.,288,1,1
119,CUST120,2023-03-14,DJI Air 2S,895.56,Debit Card,0,1,Recreation,4,The DJI Air 2S is outstanding and exceeded my expectations. It's terrific for Recreation.,333,0,1
120,CUST121,2023-02-09,Autel EVO 2 Pro,1810.88,Credit Card,2,2,Aerial Photography,1,The Autel EVO 2 Pro is reliable and exceeded my expectations. It's amazing for Aerial Photography.,366,0,5
121,CUST122,2023-08-24,Autel EVO Lite+,1628.03,Debit Card,0,0,Aerial Photography,3,I'm truly impressed with the Autel EVO Lite+. It's satisfying and terrific for Aerial Photography.,170,0,1
122,CUST123,2022-11-01,Autel EVO 2 Pro,309.16,Debit Card,2,0,Professional Use,5,"For the price of 309.16, the Autel EVO 2 Pro offers impressive performance. It's fantastic for Professional Use.",466,0,3
123,CUST124,2022-11-15,Autel EVO Lite+,1245.68,PayPal,1,1,Aerial Photography,5,I'm truly impressed with the Autel EVO Lite+. It's impressive and perfect for Aerial Photography.,452,0,4
124,CUST125,2023-08-15,Autel EVO 2 Pro,2006.08,Credit Card,2,1,Professional Use,4,The Autel EVO 2 Pro is outstanding and exceeded my expectations. It's fantastic for Professional Use.,179,0,5
125,CUST126,2023-01-26,Parrot Anafi USA,363.43,PayPal,2,0,Aerial Photography,4,"For the price of 363.43, the Parrot Anafi USA offers impressive performance. It's exceptional for Aerial Photography.",380,1,3
126,CUST127,2023-06-22,Autel EVO 2 Pro,675.61,Debit Card,2,0,Recreation,4,I purchased the Autel EVO 2 Pro and it has been an satisfying experience. It's perfect for Recreation.,233,0,3
127,CUST128,2023-06-21,Autel EVO 2 Pro,1955.85,Debit Card,1,0,Aerial Photography,5,"For the price of 1955.85, the Autel EVO 2 Pro offers satisfying performance. It's fantastic for Aerial Photography.",234,0,3
128,CUST129,2023-07-28,DJI Air 2S,724.2,Debit Card,2,1,Professional Use,5,I couldn't be happier with the DJI Air 2S. It's impressive and exceptional for Professional Use.,197,0,5
129,CUST130,2023-05-30,Autel EVO 2 Pro,1431.67,Credit Card,2,2,Recreation,4,I purchased the Autel EVO 2 Pro and it has been an outstanding experience. It's perfect for Recreation.,256,0,5
130,CUST131,2022-10-25,Parrot Anafi USA,707.64,Cash,1,1,Aerial Photography,5,I couldn't be happier with the Parrot Anafi USA. It's impressive and fantastic for Aerial Photography.,473,1,4
131,CUST132,2023-05-04,Autel EVO 2 Pro,2393.41,Cash,0,1,Aerial Photography,4,"For the price of 2393.41, the Autel EVO 2 Pro offers satisfying performance. It's fantastic for Aerial Photography.",282,0,1
132,CUST133,2022-12-08,Parrot Anafi USA,2387.25,PayPal,1,0,Professional Use,4,I couldn't be happier with the Parrot Anafi USA. It's reliable and fantastic for Professional Use.,429,1,3
133,CUST134,2023-07-19,Yuneec Typhoon H,2397.38,Cash,1,0,Recreation,4,The Yuneec Typhoon H is impressive and exceeded my expectations. It's exceptional for Recreation.,206,0,3
134,CUST135,2022-12-14,Skydio X2,1685.01,Debit Card,2,0,Professional Use,3,I'm truly impressed with the Skydio X2. It's excellent and exceptional for Professional Use.,423,0,3
135,CUST136,2023-07-04,Skydio 2,478.51,PayPal,1,1,Recreation,5,I'm truly impressed with the Skydio 2. It's outstanding and exceptional for Recreation.,221,1,4
136,CUST137,2023-02-03,Autel EVO Nano+,410.11,Cash,1,0,Professional Use,4,"For the price of 410.11, the Autel EVO Nano+ offers satisfying performance. It's terrific for Professional Use.",372,0,3
137,CUST138,2023-06-01,Skydio X2,2184.18,Debit Card,2,2,Professional Use,5,I purchased the Skydio X2 and it has been an outstanding experience. It's perfect for Professional Use.,254,0,5
138,CUST139,2023-08-12,Autel EVO 2 Pro,2473.24,Debit Card,0,1,Professional Use,4,"For the price of 2473.24, the Autel EVO 2 Pro offers reliable performance. It's perfect for Professional Use.",182,0,1
139,CUST140,2022-12-24,Yuneec Typhoon H,1359.34,Debit Card,2,2,Recreation,4,"For the price of 1359.34, the Yuneec Typhoon H offers impressive performance. It's terrific for Recreation.",413,0,5
140,CUST141,2023-08-04,Skydio 2,2446.92,PayPal,2,2,Aerial Photography,4,I'm truly impressed with the Skydio 2. It's reliable and terrific for Aerial Photography.,190,1,5
141,CUST142,2022-11-23,DJI Mavic Air 2,1214.22,Credit Card,1,0,Professional Use,4,I couldn't be happier with the DJI Mavic Air 2. It's impressive and terrific for Professional Use.,444,0,3
142,CUST143,2023-05-25,DJI Mini 2,807.72,PayPal,2,2,Aerial Photography,5,I'm truly impressed with the DJI Mini 2. It's outstanding and amazing for Aerial Photography.,261,1,5
143,CUST144,2023-07-11,DJI Mini 2,2340.25,Cash,2,0,Professional Use,4,I couldn't be happier with the DJI Mini 2. It's satisfying and amazing for Professional Use.,214,1,3
144,CUST145,2023-07-09,DJI Air 2S,569.43,Debit Card,0,1,Aerial Photography,4,"For the price of 569.43, the DJI Air 2S offers satisfying performance. It's perfect for Aerial Photography.",216,0,1
145,CUST146,2022-12-01,DJI Air 2S,757.01,Debit Card,0,2,Recreation,4,The DJI Air 2S is satisfying and exceeded my expectations. It's fantastic for Recreation.,436,0,2
146,CUST147,2022-10-25,Autel EVO Nano+,1175.09,Credit Card,1,2,Recreation,4,"For the price of 1175.09, the Autel EVO Nano+ offers satisfying performance. It's perfect for Recreation.",473,0,2
147,CUST148,2023-07-09,DJI Mavic Air 2,2010.57,Cash,2,0,Recreation,5,The DJI Mavic Air 2 is outstanding and exceeded my expectations. It's perfect for Recreation.,216,0,3
148,CUST149,2022-11-18,DJI Air 2S,1022.1,Debit Card,0,0,Recreation,3,I couldn't be happier with the DJI Air 2S. It's satisfying and amazing for Recreation.,449,0,1
